# 요고비 카탈로그 원천 데이터셋 — 단일 원본(source of truth). DB는 이 파일의 투영이며 CRUD는 이 파일을 되쓴다.
# 형식: '#@ <dataset>' 줄이 섹션 경계다. 각 섹션의 첫 비주석 줄은 CSV 헤더, 이후가 데이터 행이다. 그 밖의 '#' 줄은 주석.
# 데이터셋: mobile_plan(통신요금) · subscription_service/subscription_tier(구독서비스) · plan_benefit(혜택) · bundle_product(번들).
#@ mobile_plan
carrier,plan_name,network_type,base_price,data_mb,voice_min,sms_cnt,contract_discount_12m,contract_discount_24m,age_limit,source_url,collected_at
SKT,Easy XL,5G,69000,112640,200,200,,,시니어 유학·취업 목적 단기 체류(D/E 계열 비자) 외국인,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,다이렉트5G 69(T 우주),5G,69000,999999,999999,,,,다이렉트,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,다이렉트5G 69(넷플릭스),5G,69000,999999,999999,,,,다이렉트,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,다이렉트5G 69(디즈니+),5G,69000,999999,999999,,,,다이렉트,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,다이렉트5G 69(티빙),5G,69000,999999,999999,,,,다이렉트,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,라이트 69,5G,69000,112640,999999,,,,ALL,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,라이트 59 75GB업,5G,68000,101376,999999,,,,ALL,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,라이트 59 50GB업,5G,66000,75776,999999,,,,ALL,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,라이트 59 30GB업,5G,64000,55296,999999,,,,ALL,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,0 청년 다이렉트 62,5G,62000,999999,999999,,,,청년 만 19~34세,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,0 청년 다이렉트 62(넷플릭스),5G,62000,999999,999999,,,,청년 만 19~34세,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,다이렉트5G 62,5G,62000,999999,999999,,,,다이렉트,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,다이렉트5G 62(넷플릭스),5G,62000,999999,999999,,,,다이렉트,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,라이트 59 13GB업,5G,62000,37888,999999,,,,ALL,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,Easy L,5G,59000,10240,200,200,,,시니어 유학·취업 목적 단기 체류(D/E 계열 비자) 외국인,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,라이트 59,5G,59000,24576,999999,,,,ALL,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,0 청년 다이렉트 55,5G,55000,307200,999999,,,,청년 만 19~34세,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,다이렉트5G 55,5G,55000,256000,999999,,,,다이렉트,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,라이트 55,5G,55000,15360,999999,,,,ALL,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,Easy M,5G,49000,3072,200,200,,,시니어 유학·취업 목적 단기 체류(D/E 계열 비자) 외국인,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,라이트 49,5G,49000,11264,999999,,,,ALL,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,0 청년 다이렉트 48,5G,48000,163840,999999,,,,청년 만 19~34세,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,다이렉트5G 48,5G,48000,112640,999999,,,,다이렉트,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,라이트 45,5G,45000,8192,999999,,,,ALL,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,0 청년 다이렉트 42,5G,42000,36864,999999,,,,청년 만 19~34세,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,다이렉트5G 42,5G,42000,24576,999999,,,,다이렉트,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,Easy S,5G,39000,1024,200,200,,,시니어 유학·취업 목적 단기 체류(D/E 계열 비자) 외국인,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,라이트 39,5G,39000,6144,999999,,,,ALL,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,다이렉트5G 38,5G,38000,15360,999999,,,,다이렉트,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,ZEM플랜 퍼펙트,5G,36000,6144,999999,,,,키즈 만 12세 이하,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,소리누리 2.4G,5G,34650,2458,999999,50,,,복지 시각 장애 복지카드 소지자,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,손누리 3.0G,5G,34650,3072,210,,,,복지 청각·언어 장애 복지카드 소지자,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,0 청년 다이렉트 34,5G,34000,15360,999999,,,,청년 만 19~34세,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,다이렉트5G 34,5G,34000,11264,999999,,,,다이렉트,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,T플랜 세이브,5G,33000,1536,999999,,,,ALL,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,다이렉트5G 31,5G,31000,8192,999999,,,,다이렉트,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,0 청년 다이렉트 30,5G,30000,8192,999999,,,,청년 만 19~34세,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,소리누리 1.2G,5G,29700,1229,999999,50,,,복지 시각 장애 복지카드 소지자,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,손누리 1.5G,5G,29700,1536,210,,,,복지 청각·언어 장애 복지카드 소지자,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,뉴 T끼리 맞춤형(100분+250MB),5G,27830,250,999999,,,,ALL,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,다이렉트5G 27,5G,27000,6144,999999,,,,다이렉트,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,ZEM플랜 베스트,5G,26000,3072,999999,,,,키즈 만 12세 이하,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,다이렉트LTE 22,LTE,22000,1843,999999,,,,다이렉트,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
SKT,ZEM플랜 스마트,5G,19800,1536,999999,,,,키즈 만 12세 이하,https://m.tworld.co.kr/product/renewal/mobileplan/list,2026-09-08
KT,초이스 130 Google AI Plus,5G,130000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스130,5G,130000,999999,300,,,,ALL,https://product.kt.com/wDic/productDetail.do,2026-09-11
KT,초이스130 가전구독,5G,130000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스130 넷플릭스,5G,130000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스130 디바이스,5G,130000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스130 디즈니플러스,5G,130000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스130 삼성,5G,130000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스130 위버스,5G,130000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스130 유튜브 프리미엄,5G,130000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스130 티빙/지니/밀리,5G,130000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스130 폰케어,5G,130000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스 더블,5G,120000,999999,300,,,,ALL,https://product.kt.com/wDic/productDetail.do,2026-09-11
KT,초이스 더블 디바이스,5G,120000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스 더블 디즈니플러스+폰케어,5G,120000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스 더블 유튜브 프리미엄+Google AI Plus,5G,120000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스 더블 유튜브 프리미엄+넷플릭스,5G,120000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스 더블 유튜브 프리미엄+디바이스,5G,120000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스 110 Google AI Plus,5G,110000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스110,5G,110000,999999,300,,,,ALL,https://product.kt.com/wDic/productDetail.do,2026-09-11
KT,초이스110 가전구독,5G,110000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스110 넷플릭스,5G,110000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스110 디바이스,5G,110000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스110 디즈니플러스,5G,110000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스110 삼성,5G,110000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스110 위버스,5G,110000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스110 유튜브 프리미엄,5G,110000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스110 티빙/지니/밀리,5G,110000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스110 폰케어,5G,110000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,순 완전무한99(3G),3G,108900,25600,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,베이직100,5G,100000,999999,,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스 90 Google AI Plus,5G,90000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스90,5G,90000,999999,300,,,,ALL,https://product.kt.com/wDic/productDetail.do,2026-09-11
KT,초이스90 가전구독,5G,90000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스90 넷플릭스,5G,90000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스90 디바이스,5G,90000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스90 디즈니플러스,5G,90000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스90 삼성,5G,90000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스90 위버스,5G,90000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스90 유튜브 프리미엄,5G,90000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스90 티빙/지니/밀리,5G,90000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,초이스90 폰케어,5G,90000,999999,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,순 완전무한77(3G),3G,84700,17408,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,베이직80,5G,80000,999999,,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,베이직110GB,5G,69000,112640,,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,요고 69,5G,69000,999999,999999,999999,,,다이렉트,https://product.kt.com/wDic/index.do,2026-09-08
KT,순 완전무한61(3G),3G,67100,10240,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,베이직90GB,5G,67000,92160,,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,베이직70GB,5G,65000,71680,,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,베이직50GB,5G,63000,51200,,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,베이직30GB,5G,61000,30720,,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
